ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
3354;SI_LocationType;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;SI_LocationType;XML;1.1.0;Yes;SI_LocationType, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_LocationType) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3447;Bundeslaender;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Bundeslaender;XML;1.1.0;Yes;Bundeslaender, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Bundeslaender) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3448;Flurstueckskoordinaten;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Flurstueckskoordinaten;XML;1.1.0;Yes;Flurstueckskoordinaten, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Flurstueckskoordinaten) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3449;Gemarkung;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Gemarkung;XML;1.1.0;Yes;Gemarkung, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Gemarkung) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3450;Gemeinden;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Gemeinden;XML;1.1.0;Yes;Gemeinden, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Gemeinden) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3451;Kreise;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Kreise;XML;1.1.0;Yes;Kreise, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Kreise) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3452;Ortsteile;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Ortsteile;XML;1.1.0;Yes;Ortsteile, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Ortsteile) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3453;Postleitzahlgebiete;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Postleitzahlgebiete;XML;1.1.0;Yes;Postleitzahlgebiete, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Postleitzahlgebiete) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3454;Regierungsbezirke;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Regierungsbezirke;XML;1.1.0;Yes;Regierungsbezirke, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Regierungsbezirke) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3455;Strassen;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Strassen;XML;1.1.0;Yes;Strassen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Strassen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3456;Hauskoordinaten;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;Hauskoordinaten;XML;1.1.0;Yes;Hauskoordinaten, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Hauskoordinaten) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3457;SI_Gazetteer;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;SI_Gazetteer;XML;1.1.0;Yes;SI_Gazetteer, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_Gazetteer) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3458;SI_LocationType;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung_Schulung;WFS;SI_LocationType;XML;1.1.0;Yes;SI_LocationType, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_LocationType) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3459;Bundeslaender;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Bundeslaender;XML;1.1.0;Yes;Bundeslaender, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Bundeslaender) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3460;Flurstueckskoordinaten;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Flurstueckskoordinaten;XML;1.1.0;Yes;Flurstueckskoordinaten, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Flurstueckskoordinaten) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3461;Gemarkung;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Gemarkung;XML;1.1.0;Yes;Gemarkung, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Gemarkung) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3462;Gemeinden;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Gemeinden;XML;1.1.0;Yes;Gemeinden, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Gemeinden) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3463;Kreise;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Kreise;XML;1.1.0;Yes;Kreise, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Kreise) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3464;Ortsteile;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Ortsteile;XML;1.1.0;Yes;Ortsteile, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Ortsteile) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3465;Postleitzahlgebiete;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Postleitzahlgebiete;XML;1.1.0;Yes;Postleitzahlgebiete, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Postleitzahlgebiete) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3466;Regierungsbezirke;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Regierungsbezirke;XML;1.1.0;Yes;Regierungsbezirke, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Regierungsbezirke) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3467;Strassen;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Strassen;XML;1.1.0;Yes;Strassen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Strassen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3468;Hauskoordinaten;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;Hauskoordinaten;XML;1.1.0;Yes;Hauskoordinaten, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Hauskoordinaten) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3469;SI_Gazetteer;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;SI_Gazetteer;XML;1.1.0;Yes;SI_Gazetteer, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_Gazetteer) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3470;SI_LocationType;https://geodienste.hamburg.de/HH_WFS_GAGES_Fortfuehrung;WFS;SI_LocationType;XML;1.1.0;Yes;SI_LocationType, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_LocationType) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
